Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption Comb (L/100 km),number_of_gears,CO2 Emissions(g/km)
FORD,SPECIAL PURPOSE VEHICLE,2.5,4,AS,E,14.7,6,242
SUBARU,STATION WAGON - SMALL,2.0,4,M,X,8.4,5,197
GMC,PICKUP TRUCK - SMALL,2.8,4,A,D,10.4,6,279
GMC,PICKUP TRUCK - STANDARD,5.3,8,A,X,14.4,6,339
MERCEDES-BENZ,STATION WAGON - SMALL,2.0,4,AM,Z,8.3,7,192
BMW,FULL-SIZE,3.0,6,AS,Z,11.0,8,253
KIA,SUV - SMALL,2.0,4,AS,X,10.3,6,245
LAND ROVER,SUV - SMALL,5.0,8,AS,Z,13.5,8,318
CHEVROLET,MID-SIZE,1.8,4,AV,X,5.1,0,122
ROLLS-ROYCE,COMPACT,6.6,12,AS,Z,17.0,8,397
AUDI,SUBCOMPACT,3.0,6,AS,Z,9.9,8,234
MERCEDES-BENZ,SUV - STANDARD,3.0,6,AS,D,12.0,7,324
MASERATI,FULL-SIZE,3.0,6,AS,Z,12.8,8,301
TOYOTA,SUV - SMALL,2.5,4,AS,X,9.4,6,220
BMW,SUBCOMPACT,3.0,6,AS,Z,10.3,8,237
HYUNDAI,SUV - SMALL,2.0,4,AS,X,10.1,6,239
MERCEDES-BENZ,TWO-SEATER,5.5,8,AS,Z,12.4,7,298
FORD,FULL-SIZE,3.5,6,AS,E,14.7,6,235
VOLVO,SUV - SMALL,3.0,6,AS,X,12.0,6,276
LAND ROVER,SUV - STANDARD,5.0,8,AS,Z,15.5,8,365
VOLKSWAGEN,MID-SIZE,1.8,4,M,X,8.4,5,193
CHRYSLER,FULL-SIZE,3.6,6,A,E,13.9,8,222
FORD,SUV - STANDARD,3.5,6,AS,X,14.2,6,327
DODGE,FULL-SIZE,3.6,6,A,E,13.9,8,222
FORD,SUBCOMPACT,5.2,8,AM,Z,16.7,7,392
CHEVROLET,PICKUP TRUCK - STANDARD,6.2,8,A,Z,14.2,8,327
BENTLEY,MID-SIZE,6.0,12,AS,Z,16.5,8,388
SUBARU,SUV - SMALL,2.0,4,AV,Z,9.4,8,222
HYUNDAI,SUBCOMPACT,3.8,6,AS,Z,12.2,8,284
BMW,COMPACT,2.0,4,M,Z,8.6,6,202
FORD,MID-SIZE,1.5,4,AS,X,8.7,6,204
HONDA,MID-SIZE,2.4,4,M,X,9.0,6,210
BMW,SUBCOMPACT,3.0,6,M,Z,10.4,6,245
VOLVO,STATION WAGON - SMALL,2.0,4,AS,Z,9.3,8,218
KIA,FULL-SIZE,2.0,4,AS,X,8.5,6,199
CHEVROLET,SUV - SMALL,1.5,4,A,X,8.6,6,207
FORD,SUV - STANDARD,3.5,6,AS,E,16.2,6,269
GMC,SUV - STANDARD,6.2,8,A,Z,13.8,8,317
BMW,SUV - STANDARD,3.0,6,A,Z,11.1,8,255
TOYOTA,PICKUP TRUCK - SMALL,2.7,4,AS,X,11.7,6,274
FORD,COMPACT,2.0,4,AM,E,10.6,6,177
JEEP,SUV - SMALL,2.0,4,AV,X,9.9,0,228
JEEP,SUV - SMALL,2.4,4,A,E,13.7,9,226
PORSCHE,MINICOMPACT,3.0,6,AM,Z,11.6,8,272
SUBARU,STATION WAGON - SMALL,2.0,4,AV,X,7.6,6,175
TOYOTA,SUV - SMALL,2.5,4,AS,X,9.5,6,218
MERCEDES-BENZ,MID-SIZE,4.7,8,AS,Z,12.2,7,294
